taxon,abundance,cs
Adenophorea,510,0
Andreaeopsida,37,35
Arachnida,1342,0
Arthoniomycetes,106,0
Aves,903,286
Bryopsida,57,35
Chilopoda,365,0
Clitellata,3007,0
Diplopoda,410,0
Dothideomycetes,77,0
Entognatha,725,0
Equisetopsida,143,0
Eurotiomycetes,106,0
Gastropoda,155,82
Glomeromycetes,2,0
Haplomitriopsida,35,35
Insecta,4117,154
Jungermanniopsida,37,35
Lecanoromycetes,106,0
Lichinomycetes,29,0
Liliopsida,645,16
Magnoliopsida,689,16
Malacostraca,373,0
Marchantiopsida,37,35
Maxillopoda,34,0
Not assigned,77,0
Pauropoda,596,0
Pinopsida,378,16
Polypodiopsida,284,16
Psilotopsida,159,0
Secernentea,510,0
Sordariomycetes,36,0
Sphagnopsida,57,35
Symphyla,535,0
